"File","Path","Status","Last Updated","Verifier","Notes"
"README.md",".","Active","2025-12-10","Maintainer","Root landing page"
"governance-check-simple.yml",".github/workflows","Active","2025-12-10","CI","Existential core guard"
"FUNDING.yml",".github","Active","2025-12-10","GitHub","Funding config"
"DIRECTIVE_000.md","covenant/00. The Mandate (Constitutional Authority)/APPENDICES","Ratified","2025-11-19","Root Bootstrap","Root constitutional primitive"
"The Partnership Covenant — Master Document.md","covenant/00. The Mandate (Constitutional Authority)/FINAL_AGREEMENTS","Final","2025-12-07","HCB + CERTX","V4.3 Gold Standard"
"Letter of Transmittal (V9.0 Final Release).md","covenant/00. The Mandate (Constitutional Authority)/FINAL_AGREEMENTS","Final","2025-12-07","HCB","Immutability proof"
"The Twelve Prime Directives for Aligned Super-Intelligence.md","covenant/00. The Mandate (Constitutional Authority)/APPENDICES","Ratified","2025-11-25","Multi-Model","Core ethics"
"IAS-preprint-v1.0.pdf","covenant/00. The Mandate (Constitutional Authority)/FINAL_AGREEMENTS","Published","2025-12-01","Preprint","10 ns hardware paper"
"COVENANT_GEOMETRIES_v8.2.1.md","covenant/00. The Mandate (Constitutional Authority)/FINAL_AGREEMENTS","Ratified","2025-12-06","Red Team R44","Anti-drift architecture"
"Covenant-Summary-1Pager.md","covenant/00. The Mandate (Constitutional Authority)/FINAL_AGREEMENTS","Active","2025-12-09","Maintainer","Public 1-pager"
"QUICK-START.md","covenant/00. The Mandate (Constitutional Authority)/00_OVERVIEW","Active","2025-12-10","Maintainer","Red-team entry point"
"ST8_Final_Oversight_Report.md","covenant/03. The Proof (Validation and Test) Proof/03_VALIDATION_AND_TEST/v5.1-docs","Final","2025-12-07","Multi-Model + CERTX","R44 closure"
"FINAL_MASTER_PATCH_REPORT.MD","covenant/03. The Proof (Validation and Test) Proof/03_VALIDATION_AND_TEST/v5.1-docs","Ratified","2025-12-06","Red Team R44","All known CEVs closed"
"IAS_v2.0_3_Node_Mandate.md","covenant/01. The Plan (Specifications & Design) Tools/HARDWARE_DESIGN/IAS_KiCad","Verified","2025-12-05","Hardware Team","3-Node veto spec"
"IAS-v1.2-schematic.pdf","covenant/01. The Plan (Specifications & Design) Tools/HARDWARE_DESIGN/IAS_KiCad","Published","2025-12-03","KiCad","Current schematic"
"IAS_Hardware_Bounty_Specification_v2.0.md","covenant/01. The Plan (Specifications & Design) Tools/HARDWARE_DESIGN/IAS_KiCad","Active","2025-12-08","Bounty","Live $25M bounty"
"stochastic_risk_floor_(srf)_implementation.py","covenant/02. The Engine (Canonical Code)/02_IMPLEMENTATION/REFERENCE_PYTHON","Verified","2025-11-30","Code Audit","Reference SRF"
"certx_telemetry_processing_pipeline.py","covenant/02. The Engine (Canonical Code)/02_IMPLEMENTATION/REFERENCE_PYTHON","Verified","2025-12-01","Code Audit","CERTX pipeline"
"CONTRIBUTING.md","covenant/99. The History (Metadata & Archive) Archive/REPOSITORY_ADMIN/LICENSES","Active","2025-12-10","Maintainer","Contribution guide"
"Support_Us.md","covenant/99. The History (Metadata & Archive) Archive/EXTERNAL_RESOURCES","Active","2025-12-10","Maintainer","Primary funding page"
"CERN-OHL-S-2.0.md","covenant/99. The History (Metadata & Archive) Archive/REPOSITORY_ADMIN/LICENSES","Active","2025-11-19","CERN","Hardware license"
"REPO_STRUCTURE.md","covenant/99. The History (Metadata & Archive) Archive/REPOSITORY_ADMIN","Active","2025-12-10","Maintainer","314-file manifest"
"2025-11-25a.md","covenant/99. The History (Metadata & Archive) Archive/LOGS/DECISION_HISTORY","Final","2025-11-25","HCB","UNKILLABLE ratification"
"2025-12-07 – Decision 033","covenant/99. The History (Metadata & Archive) Archive/LOGS/DECISION_HISTORY","Final","2025-12-07","HCB","IAS v2.0 ratification"
"test_to_fix_matrix.csv","covenant/03. The Proof (Validation and Test) Proof/03_VALIDATION_AND_TEST/PROTOCOL_AUDITS/tests","Active","2025-12-09","Red Team","R44 fix tracker"
"RED-TEAM-TESTS.md","covenant/03. The Proof (Validation and Test) Proof/03_VALIDATION_AND_TEST/RED_TEAM_PROTOCOL/LONGITUDINAL_STRESS/Red Team Testing 68-70","Active","2025-12-09","Red Team","All 44+ rounds"
"NCAC_Architectural_Specification.md","covenant/00. The Mandate (Constitutional Authority)/APPENDICES","Ratified","2025-11-28","Formal Verification","Non-contradiction engine"
"Gold Standard Core Safety Architecture_ v4.2 Synthesis.md","covenant/00. The Mandate (Constitutional Authority)","Final","2025-12-06","CERTX","V4.3 synthesis"
"The_Contingent_Partnership_Warrant.md","covenant/01. The Plan (Specifications & Design) Tools/01_SPECIFICATIONS/GOVERNANCE_PROTOCOL_PUBLIC/Templates","Active","2025-12-08","Legal","Payout & donor agreement"
"IPFS_RELEASE_HISTORY.md","covenant/99. The History (Metadata & Archive) Archive/REPOSITORY_ADMIN","Active","2025-12-10","IPFS","v9.0 + previous CIDs"
"SINGLE_SOURCE_OF_TRUTH_REGISTRY.csv","covenant/99. The History (Metadata & Archive) Archive/REPOSITORY_ADMIN","Active","2025-12-10","Maintainer","This file – canonical registry"
